sku_interno,producto,marca,metros_totales,retailer,url,categoria,subcategoria,rollos,metros_rollo
TC-232,Nova Clásica Doble Hoja 40 m 1 un,Nova,40,jumbo,https://www.jumbo.cl/toalla-papel-nova-clasica-4omt-1un-2017217/p,Toalla de Papel,Doble Hoja,1,40
TC-233,Home Care Doble Hoja 12 m 3 un,Home Care,36,jumbo,https://www.jumbo.cl/toalla-home-care-doble-hoja-3-un-x-12-mt-2042444/p,Toalla de Papel,Doble Hoja,3,12
TC-234,Nova Gigante Clásica Doble Hoja 70 m 1 un,Nova,70,jumbo,https://www.jumbo.cl/toalla-papel-nova-gigante-clasica-70mt-2021823/p,Toalla de Papel,Doble Hoja,1,70
TC-235,Favorita Hogar Mega Doble Hoja 100 m 1 un,Favorita,100,jumbo,https://www.jumbo.cl/toalla-de-papel-favorita-hogar-mega-1-unid-100-metros/p,Toalla de Papel,Doble Hoja,1,100
TC-236,Home Care Doble Hoja 26 m 2 un,Home Care,52,jumbo,https://www.jumbo.cl/toalla-home-care-doble-hoja-2-un-x-26-mt-2042446/p,Toalla de Papel,Doble Hoja,2,26
TC-237,Nova Ultra Doble Hoja 14 m 2 un,Nova,28,jumbo,https://www.jumbo.cl/toalla-papel-nova-ultra-14mt-2un-1997285/p,Toalla de Papel,Doble Hoja,2,14
TC-238,Favorita Extra Hogar Hoja Simple 60 m 2 un,Favorita,120,jumbo,https://www.jumbo.cl/toalla-favorita-extra-hogar-60m-2un-1884769/p,Toalla de Papel,Hoja Simple,2,60
TC-239,Máxima Doble Hoja 10 m 2 un,Máxima,20,jumbo,https://www.jumbo.cl/toalla-max-3x10-2067051/p,Toalla de Papel,Doble Hoja,2,10
TC-240,Home Care Doble Hoja 45 m 1 un,Home Care,45,santaisabel,https://www.santaisabel.cl/toalla-home-care-doble-hoja-45-metros-2042443/p,Toalla de Papel,Doble Hoja,1,45
TC-241,Abolengo XL Doble Hoja 100 m 1 un,Abolengo,100,santaisabel,https://www.santaisabel.cl/toalla-abolengo-xl-100-mt/p,Toalla de Papel,Doble Hoja,1,100
TC-242,Home Care Doble Hoja 12 m 3 un,Home Care,36,santaisabel,https://www.santaisabel.cl/toalla-home-care-doble-hoja-3-un-x-12-mt-2042444/p,Toalla de Papel,Doble Hoja,3,12
TC-243,Home Care Doble Hoja 100 m 1 un,Home Care,100,santaisabel,https://www.santaisabel.cl/toalla-doble-hoja-home-care-100-metros-2042885/p,Toalla de Papel,Doble Hoja,1,100
TC-244,Nova Clásica Doble Hoja 12 m 3 un,Nova,36,santaisabel,https://www.santaisabel.cl/toalla-de-papel-nova-clasica-12-m-3-un-2008455/p,Toalla de Papel,Doble Hoja,3,12
